,Title,published_date,Views,Likes,Comments
170,Amazon Off Campus Internship | Rejected By TCS & WIPRO | Less Than 60% In 12'th | PPO Offered ..,2020-07-11T05:15:38Z,84310,5382,332
171,Data Modeling Basics in 1 Hour 🔥Data Science | Vivek Mishra - Sr. Data Scientist @ The Mars Agency,2020-07-07T08:23:33Z,652,26,1
172,Why Did Amazon Reject Me 2 Times ?? What Mistakes ?? My 3 Year's Hustle For Dream Job 🔥,2020-07-04T05:52:40Z,16747,960,112
173,Modern Frontend Development - Tapan Anand | Computer Scientist 2 @ Adobe | ML on Frontend,2020-07-01T08:14:53Z,873,46,3
174,Tier-3 College Guy | National & International Hackathon Champion - Shivay Lamba | MAIT Delhi | Metvy,2020-06-27T04:35:30Z,1400,93,8
175,Monolithic Vs MicroServices 🔥🔥- Rishabh Dugar | NIT Allahabad Online Workshop - 2020,2020-06-23T06:32:04Z,538,19,0
176,Career in Cyber Security - Kriti Srivastava | Security Program Manager @ Paytm | Bug Bounty|Earnings,2020-06-20T09:56:11Z,1688,105,17
177,Full Stack Development - Vardan Bansal | Full Stack Developer @ Harness | Ex-Morgan Stanley|Workshop,2020-06-17T08:50:23Z,896,30,4
178,Web & Micro Services - Alpesh Rathore | Senior Technical Lead @ Paytm | Backend Development,2020-06-14T17:52:01Z,458,40,2
179,Apache Spark - Cluster Computing | Jatin Narula | Software Engineer @ Microsoft | NIT Allahabad,2020-06-09T08:44:26Z,1404,37,2
180,Frontend Developer - Microsoft Interview Experience || Switched From TCS || Full Explanation 🔥,2020-06-06T10:42:57Z,27133,810,42
